		sentence_1	sentence_2	marker
0	117188	Is being outside the roundhouse .	Something seized me ... oengus .	and
0	138989	The distraction allowed silus to get closer still slash at the beasts scaly neck .	Again thrax swung his head out of the way with a mighty roar , but .	and
2	6942	Which always tasted so mild .	Provided a heady kick .	but
0	24396	More than twice as big as the moon in midgard , thought odd .	He wondered if that was because asgard was closer to the moon , or whether it had its own moon .	and
2	156720	Did she have nowhere to go .	Even if she tried , she 'd never be able to hide out .	but
0	50070	Nearly three hundred years ago , powerful witches gathered together to call for the spirit of the phoenix .	Placed it within a human body .	and
0	60610	Her muscles are cramping .	Her mind is blank .	and
2	72624	'' i said , `` . '' .	I 'm not ready to talk about it .	but
0	137575	She clung to him .	Her skin was cold even though she was soaked with sweat .	and
3	20988	You only could catch on .	You really know the person .	if
0	41828	The darkness gives like grudging , soft taffy : ka-twannnggg .	Then lets go with a sensation like the snap of a rubber band .	and
0	70241	I put down gabes psp .	Look out the window .	and
0	150387	So he scrambled along the sidewalk to the back of the van .	Looked around the vehicles tire .	and
2	16230	I am going to need a hint or .	This is going to bother me all day .	but
2	117818	He 'd kept their names and phone numbers not a single woman to compare to the one he 'd met yesterday , quite by chance .	There were a couple he might 've liked under other circumstances , and .	but
4	71760	He would be free of reminders of kira , breaking the strange , hypnotic sway her memory seemed to hold over him .	He was free of this house .	when
0	66431	The voices of the men were already between he the horses .	Cutting him off from gaining a speedy escape .	and
0	35608	Ailia closed her eyes , realizing he was currently her only safeguard against danger .	Squeezed herself closer to volomites large body .	and
4	90453	She slept with that granger boy .	She was only sixteen .	when
2	126228	They had to upgrade all her major mechanical and electrical components .	They maintained and restored her original and luxurious dcor and accommodations .	but
1	67930	... you know ... shoes .	Iceland is a hard place to live without .	because
3	105741	Thomas ... it is not by coincidence .	This thing was after us .	if
0	116016	A crown was laid on his head .	He was seated on a throne , and a man clad in black pulled the throne from under him and set it ablaze .	and
2	77044	There was a metal grate fence to keep the tourists away from the water .	Mari was still small enough to squeeze under it .	but
3	120411	Know that you will not kill me before i can drive this blades edge all the way through your lovers neck .	You are behind me .	if
2	153076	I might be a big-time , rich lawyer .	Don still saw me as the poor kid looking for a chance .	but
2	30254	Dan looked ready to argue .	Matt quieted her with a touch on her arm .	but
0	37420	People will see ilsa .	Wonder is that she is a distant cousin of my ilsa 's , widowed , and her parents have recently been lost .	and
2	134241	That was the case at one time , do not worry you will be fine just announce yourself the moment you cross the border .	Since then i have promised them land in return for their help and reluctantly they agreed .	but
2	51413	If anyone shows their face above that rail , have the first rank fire . '' .	Have the second rank hold back , in case they think to shoot at us as we reload .	but
3	37169	To get you a little more competent with battle .	Youre going to be of any use to us .	if
4	54761	Her confidence continued to grow ; he 'd always been gentle and undemanding .	He kissed her again and .	when
0	160037	James turned his head .	Kissed suzanne 's temple .	and
4	68203	My brow pinched in concern .	I saw the never-used percolator on the counter beside the sink .	when
4	133901	To lighten the mood .	They most needed it .	when
2	150656	Lucas and sean were absent while kevin and tate sat with them .	Continued to stare at where rebecca sat in the corner .	but
2	37871	The night was warm .	A slight breeze kept blowing samantha 's hair into my face .	but
0	7267	A weird groaning noise came out of his throat .	He pushed the prana , the pure energy , out of him and at the astronomer .	and
2	99639	You know its kind of scary at first .	Once you understand why you can walk over the coals .	but
3	141171	Wondered , because if i had , how could i now be back inside the burning hall .	I really had ran .	if
4	115615	You would see it .	She reached for a fork or pushed her plate .	when
2	142662	Normally only an undead vampire could bespell the unwilling .	Being piscary 's scion gave kist a portion of his master 's abilities .	but
0	60381	You allow me to stay on this boat as a member of your team . '' .	I can guarantee you a permit for anything you need .	and
1	56940	What we missed out on .	That little bastard eloped .	because
0	106986	Magic medicines were not like doctors ' medicines .	Flagg knew that one of the reasons the potions he gave the old king were now so slow to work , was that he , flagg , no longer really wanted them to work .	and
2	31354	You 've not had much to smile about in recent weeks . '' .	Tonight i hope to remedy that .	but
3	20798	They may get upset with us .	We refer to them as twin numbers one and two for the rest of their lives .	if
2	156705	The sestian was apprehensive about awarding rasmere the position of sword .	He knew that if he did not honor his commitment , it could have resulted in another revolt by the forest engeniums .	but
4	88511	But , she found it cuffed to the bed .	She tried to lift her arm from above her head and slide it into her wet flesh .	when
3	120463	I doubt . '' .	Falco would hang around now that he 's been discovered .	if
4	25363	Holding out his hand .	I start to protest .	when
3	141899	She 'd have been beaten for even questioning me .	I considered myself a true andarion .	if
0	12791	Adrenalin surged through me .	I felt myself light up like a firecracker .	and
1	152594	I slept with him , because he left adam alone , because he could not begin to question jamess loyalty when james was often the one taking me to and from his room .	He let me see my daughter .	because
3	129016	Us dripping on the carpet .	Even it is looking a bit threadbare .	if
0	22401	He rested the long barrel on the log .	Picked out a target .	and
2	131263	Being here with him .	Not having him around is harder than i thought it would be .	but
2	72206	I know for a fact he and em are back on the platonic track .	He 's been leery of flaunting brielle in her face , so it sort of feels like they 've cooled it .	but
4	160813	The bitterness would be palpable .	They finally realised they had been duped .	when
1	145705	Himself touch the old mans thin , dry skin .	He had read somewhere how important human touch was for everyones emotional health .	because
0	138226	Both had been stuck behind desks most of the time .	Were exhilarated about going into the field .	and
0	27257	Canute reached out , pressing until he felt the racing beat of tostis heart against his palm .	Put his hand against tostis chest .	and
0	73374	Sue slowly unzipped her dress .	Let it fall to the floor .	and
0	66561	Leaning over the boy , i carefully flipped him over .	Stared at his unseeing eyes .	and
4	109428	I heard him remark to kenya that he figured arlene had been strangled .	The coroner came to pick up the body .	when
3	134916	I thought he was absolutely correct .	That was appius livius 's conviction .	if
0	359	He wanted manifold pressure ( mp ) at 30 .	That beautiful radial engine had to obtain a minimum 2300 rpms .	and
0	120976	Step into the circle .	When i cast a diagnostic charm on your magic , i found only the barest traces as if your will had escaped your body .	and
2	95457	It may be the algorithm i 'm working on . '' .	The odd inscription on the inside of the ring appears to me to be like the ridges of a key .	but
3	1999	I will end up killing him .	He chooses to be my enemy .	if
1	134627	If they spoke to you it was .	They wanted to mess with you .	because
2	97618	They 're so good , better than everyone .	None of them gave a shit about others .	but
2	148730	It was nearly enough to bring tears to her eyes .	She had cried already and now was not the time .	but
0	134038	My friend is supposed to interview the new students .	Your name is on her list .	and
3	97730	What would she do .	They decided not to adopt her baby .	if
2	158073	Since we got back to st. louis , '' added cat grove , `` you been talkin ' nothin ' .	Gettin ' back your boat .	but
4	147929	Who you choose to be .	You let your guard down and leave it all on the streets .	when
2	88187	The three of us chatted while she worked .	Carley was there we didnt have a chance to talk about anything related to fairies or mrs. cheshire or princes .	but
2	21821	It would be lonely there in venice , with no one but verbena and oliver with her , and aunt eustacia , of course .	She would not be living with her aunt .	but
0	20238	Okay , chance was a vampire .	That was undeniably a large relationship hurdle .	and
2	10497	I tried to fight against them .	They were like two brick walls .	but
0	58370	Her fingers accidentally let go of the windowsill .	She fell , landing with a thump on her butt .	and
3	142265	Clutching the mane of a flying pegasus , well , awesome .	I go on to glory .	if
2	149555	In that case , the fbi wants to keep up with the witness .	They do it through us .	but
2	41823	She pulled her hand .	It was shaking from the mix of emotions rushing through her .	but
2	87107	It was not his fault .	The report would reflect badly on him all the same and he could ill afford another black mark on his career .	but
0	119489	Then it spun off in a totally different direction .	Showed me the face of the woman id seen on jacobs .	and
2	66698	Tara laughed and her thoughts were held hostage by those disturbing words .	Shawna tried to say something else witty .	but
0	116934	Anyway , continued allison , we will be going through tucumcari in the next couple of hours .	I see on the map that the interstate by-passes the downtown now , i would at least like to get off and drive down old route 66 that goes through the heart of the city .	and
0	96493	She turns to me .	Said while pointing at alyse , it was mostly the little she-devils doing , i turn to alyse , impressed , you .	and
2	42107	Okay , i am so not doing the marrying thing , and thanks .	Children are definitely not in my future plans .	but
2	97505	I wanted to bolt down the aisle and vault onto the stage .	Logic told me it was a trap .	but
3	141318	She believed she could figure out how to drive the truck .	Forrest would let her .	if
4	153705	Feeling woozy even though she was lying down .	She sensed someone beside her .	when
0	76561	Laurence would have liked to unburden himself plainly to riley ; as it was - `` perhaps , '' hammond put in , hurriedly , `` captain laurence is concerned that they might irritate the dragon .	If hammond had not been there , he would have done .	and
0	28175	She became used to the heat she relaxed was , for the first time since she had tumbled from the sky , utterly happy .	Initially the water was indeed too hot , but .	and
0	75794	Reuben stood a full head taller than eduard , so a light cuff from reuben had been enough to send eduard tumbling into the pond he had just complained about .	Outweighed him by a least double .	and
2	122966	Hywel hadnt brought his knives .	Gareth wasnt going to test his luck by asking for them .	but
0	90585	He stood up and we strolled out of me garden .	Put his arm around me .	and
4	38770	Where were you going .	You fell in the river .	when
2	156714	Call it her competitive nature , or her will to survive .	All she knew for sure was that she had to make it in seattle 's business world - in a business not involving sex - and byron knight had a lot of wealth that she wanted a piece of .	but
3	44621	He needed some reminding in the art , for the girl was correct .	He was to truly behave a gentleman .	if
3	151125	But , i 'd never get out of bed in the morning . '' .	I let it take over .	if
3	1867	To `` kick some ass '' .	The show was disappointing .	if
4	48834	`` i 'm glad you came over , '' jase says .	We reach the end of the driveway .	when
2	27003	The good stuff does .	I 'm not in the mood to correct him while he 's so jolly and light .	but
1	103303	He 's done this to other kids .	Too he works with kids .	because
0	103268	Tipping her head back , she put the vial to her lips .	The contents were gone in a heartbeat .	and
2	142749	No one is really sure how it works .	When you 're changed to a martis , it 's a process .	but
1	55763	At one point i almost started a brawl , we were only gone for a minute and by the time i got back to the table some sweaty metal head was trying to press up on shaw .	I had gone to the bathroom and nash had slipped out to smoke .	because
3	23468	They shared this glorious planet with your son .	Even it was for a short time .	if
3	47989	At least to see .	There really was anything in common in .	if
0	65701	You have a heartbeat .	You bleed , not to mention that your skin is warm to the touch .	and
0	91132	They got close to us massive amounts of adrenaline dumped into their systems they started moving more .	Other than the leader and one or two others , this group all moved with an obvious exhaustion , but .	and
1	48850	Your mother is going .	She wants to see to the interests of marseilles .	because
4	86934	The human imagination is often disastrous .	Left to its own devices .	when
2	104410	I dont doubt you found something significant .	I dont see a map .	but
2	82563	At first , i used to put off the reports .	Then it became overwhelming .	but
3	26807	I could eliminate the outlanders and take over all of gorn .	Only i knew the secret of traveling the outlands .	if
0	64634	Gandalf stood before the door of orthanc .	Beat on it with his staff .	and
2	51315	The park used to be the home of every homeless person in the city .	When the city remodeled this part of the downtown area , they kicked the bums out and made this section classy and upscale .	but
3	51952	Three were better , when it came to medicine .	Half a spoon of something was good .	if
4	78217	Was lay her down on the bed and relieve the fierce ache in his loins .	All he really wanted to do .	when
3	1262	More concerned their frocks will get rumpled and soiled .	They lift a finger .	if
2	55144	The gerard might realize that he has been chosen as soon as he meets the essence .	Either way , we will know for sure after the ceremony .	but
0	45240	I do not care with whom she is sequestered or what duties she is performing , i will force a meeting with her .	Find out what rotten core is at the heart of the twisted web she weaves .	and
0	111250	The engine was idling .	She was almost sure the indistinct figure in the driver 's seat was wearing a red baseball cap .	and
2	5861	Jinny looked over their heads into the distance .	He kept their eyes on him and their ears focused out over the water .	but
3	38609	It seem significant in a different way-as .	She had something to hide .	if
4	17210	Everyone writes this differently but we sign .	We are on the same page when we both know what we would consider betrayal when we think we know what the other is capable of .	when
2	62977	I raise an eyebrow .	He says nothing , letting his feet do the talking as we get closer and closer .	but
4	2918	To be available for me .	I finally forced myself to make the time for something other than my job .	when
2	134599	As he neared , the family noticed his approach .	Continued to gather their fruit .	but
0	9033	She glanced up at his face .	He saw her dilemma .	and
2	9047	Zurra fired a needle .	He was surprised when dakkal ducked and rolled perfectly on one shoulder to avoid it .	but
0	9631	To when i was young at night .	Huddled in the cold , white dormitory bed .	and
0	129290	She blew a curl out of her eyes .	Just when he tensed to trace behind her , she took two hands and plunged her sword back along her side to kill the ghoul at her back .	and
0	40796	There were a few people lurking out by their cars .	A girl in a neon pink coat was sprinting like mad for the glass entrance doors of the school .	and
3	23916	I 'm sorry . '' .	I 've insulted you .	if
2	23466	Amaya moved to peer in the hole in the door .	Apollo held her arm to stop her .	but
0	11400	This one thawing out , like that one tried to do last week .	Kicking me in the balls as i slice him up .	and
2	148385	I ran toward my husband to embrace him .	I had been too slow .	but
0	92136	One of the dogs barked .	A man shouted a command .	and
2	58779	Granted shes not the smartest girl in the world .	She stays late and tries hard to keep up with her assignments .	but
2	55019	I open my mouth to speak .	He holds up that damn finger .	but
2	43275	You know im married .	You still want me , dont you .	but
2	141003	My legs were around his waist in the womens bathroom .	I was clinging to him .	but
0	114992	She would not remember him .	She needed the memory of him .	and
0	25093	Continued , `` what i 've seen concerning you is not good .	Turning back to her .	and
1	628	Who arent afraid of punishment .	Right and wrong are just like pleasure and displeasure .	because
0	148757	It was definitely heated poor morfyd was caught in the middle as always , trying desperately to calm the situation .	Because neither female would let the other finish a sentence , fearghus had no idea exactly what they were arguing about , but .	and
2	5165	A few of them are involved in subtle conversation .	The tall one is still just staring at me .	but
2	126872	He closed his eyes and , cursing his god .	For the day he was born , he stood up .	but
2	70284	Cassie was thrown against the seat .	She did not lose her grip on chris 's quivering hand .	but
2	81599	We managed to halt the rift .	We have no way of closing it which means that potentially all kinds of hell could come through it at any time .	but
0	69424	The woman had cooked chicken for that she was his new best friend .	Definitely not as appealing as shelby in short shorts , but .	and
2	38169	I glanced at shaya and rurik .	This time , no help came .	but
0	80869	He returned the necklace to the box .	Replaced it on his wifes dresser .	and
3	82649	I would take you to tend me personally . '' .	Ewan was not such a valued ally .	if
0	157863	Then again , mermaids were real , so she guessed the jury was still out on just how much magic her life had lost as shed grown .	She might have a crush on one .	and
0	12912	Hed never been that into formality .	So he had no qualms about conducting a highly important meeting while sitting down and drinking .	and
2	90558	I missed a few words . '' .	I got the gist .	but
4	102370	Once , another was at the zoo , and then today . '' .	You got your shoe stuck in the sewer .	when
4	140135	As i cried on my bed , i fantasized about sneaking into the mansion like i did with jack patterson .	I was twelve and retrieving the racket .	when
0	151351	He had made his fortune in the indies .	Headed west only when he had drawn too much attention to his activities in the far east .	and
2	75482	I could have compared notes all day .	Ryder was not one of those brain-washed women that would go running back to nix the minute i spilled my guts .	but
2	87574	She was tired after her long trip .	She felt a little better .	but
0	19309	Finn gave roslyn a sidelong glance , more concerned about the stain setting in his jacket than the danger presented by the pissed-off vampire .	Kept trying to rub the barbecue sauce out of his suit .	and
0	70179	Intertwining with my hair .	Tipping my face toward his .	and
0	70841	Standing up , he indicated the passage leading from the room .	Said , shall we .	and
0	11479	She picked up the phone .	Punched in a number .	and
0	37296	The knife came free as she pulled .	Tiffany dropped it in favor of scooting back across the slick floor as far from vera as possible and grabbing at her bleeding shoulder , crying out in pain .	and
3	152632	Why 'd you think it was the same killers ? '' .	The murder weapons and mo and victim selection were so varied .	if
3	4472	You 're either incredibly stubborn , or maybe you 've got something .	You make it through a hundred reads , and of course editing it along the way .	if
3	69327	This was probably the moment .	He was going to die .	if
2	116747	He 's made to rule with an iron .	Stays behind an iron curtain .	but
4	128502	Silva started this war .	I was a baby .	when
2	152778	That really was my real name .	It felt rude to point it out .	but
2	154333	The taste did anything dramatic to his taste buds .	Rather he couldnt sweeten it .	but
0	80195	Maybe he should be selfish .	Keep her with him after all .	and
2	97273	`` we are in dangerous territory either way .	Technically , sinegem has not fired galbraith .	but
3	90548	And , you lose it .	You dont use it .	if
0	893	To take her hand .	Draw her up next to him .	and
1	13409	The more it felt like the labyrinth was endless .	The longer he was inside the thick walls .	because
0	147892	You step upon my transport .	Choose to join me on our new home world .	and
2	50573	We 'd been driving in bright sunshine .	That ended with the hacienda 's wall .	but
2	47767	Now i feel bad i started this .	There 's not much i can do about it .	but
0	146791	Beth suddenly opened her eyes .	Adjusted to the light .	and
0	65766	Sprawled on nehemia 's bed .	Tossed a chocolate-covered raisin into her mouth .	and
0	159027	His destination was behind the hill of rhaenys .	The streets were crowded .	and
4	138364	She relaxed , showing her just how much i liked it .	I reached out and gently tugged a fistful of the material .	when
0	122057	A surrounding mob of gray caps click .	Whistle with insane speed .	and
4	62243	`` , i 'd prefer it if you thought about me . '' .	I 'm holding you .	when
1	114260	But , in a way , she did me a favor .	It hit me that if anything happened to you , really happened .	because
2	105084	Their skulls had been crushed with great force .	Their bodies remained uneaten-killed by a beast of tremendous strength , yet not out of hunger or fear .	but
2	12171	The griffin master selected balkind . ' .	There were none to ride him .	but
0	4088	The poison coating the wasps ' stingers would prove dangerous to the mantis-forms , but their stingers punched through vord chitin with great effectiveness .	Each drew its individual trickle of blood .	and
3	136457	I wouldnt be able to do .	Even it had been jonas .	if
2	118484	He was pale and sweating and he fought it .	He felt that he may throw up .	but
2	11100	I managed to undress and .	Get in between the sheets before i fell .	but
3	2655	I could probably go to him for help , but he was thousands of miles away in amsterdam on some job thing .	Nick were in town .	if
4	13398	But , i had to set her down .	She made her interest known .	when
0	31438	If she had flight capability , she would have levitated straight up into the air beat her to a pulp for daring to touch him .	Ripped lorelei out of quinlan 's arms .	and
1	19341	I got this inside information from myself .	It was me that had done it .	because
2	88334	It took a few seconds for that piece of information to register .	When she listened , madison could hear a car 's engine .	but
4	772	`` i 'm going home , '' i told roff .	I went back to our booth .	when
2	12180	I 'm thinking to myself deb and bradford , sittin ' in a tree .	I resolve to let her tel me about him at her own pace .	but
3	73329	So i figure , well they 'd be more likely to do business with me .	I brought him back and handed him over .	if
0	121469	Instead of short quick strokes , her hand moved slowly went through my hair all the way to the back of my head .	Her free hand brushed through my hair , pushing it away from the cut , but .	and
3	119894	`` now , douglas . '' .	You have a moment .	if
0	8089	`` it 's not your fault , '' he said .	Bumped her with his shoulder .	and
2	98347	She didnt seem scared .	She might just be .	but
4	123321	I ordered him to accompany her and send me regular reports on her well-being . '' .	My sister left for d'albret 's household .	when
2	55720	He roars and not enough to let me get free .	His grip on my hair loosens .	but
0	15889	She slipped between a bus and a panel truck .	Then she was crossing a plaza into central park .	and
2	24809	Rick steeled himself for something .	He didnt know what .	but
2	30185	It was the shortest blip of time .	In it , we 'd been frozen , as if the lives we were supposed to be living played in fast forward between us .	but
0	49716	She took a glance around the room .	Discovered not all the patrons were vampires .	and
2	78716	He looked remarkably like eugene slovensky .	His hair was blonder and he was obviously younger .	but
0	112670	Our school is two floors .	The stairs between the floors have two flights .	and
0	53933	But hey , this ignoring thing just kept on trucking barreled off into the sunset .	Took the corner at a little .	and
2	108527	For a moment , jack and jill stared at me .	When jenks clattered his wings threateningly , they slowly got to their feet .	but
2	49414	A man in a mickey mouse mask and costume strummed a guitar .	He wasnt very good and danny figured he was probably hiding out from someone .	but
3	12834	He would take her .	Dhaalu knew of the girls existence .	if
0	127819	I stumbled to keep up with him can .	Bumped my knee into a garbage .	and
4	113299	`` you look like you 're about to cry , you 're so happy , '' valerie said .	Steffie joined her in the car .	when
2	35259	For work , she would pull her hair .	Today she decided that just blowing it dry so it was soft and fluffy would be a better choice .	but
4	8279	Rob was hanging up his phone .	She knocked on his open door .	when
0	156205	The rate of innovation in magic has also doubled .	Probably more , since a lot of it is being done in secret .	and
2	69534	Regan may have been as unpopular with her teachers as an unscheduled faculty meeting , ( and secretly despised by the girls who envied her nubile figure .	The majority of boys gravitated to her cloying demeanor like roaches to darkness .	but
3	16958	Not it would matter , because every part of last summer with him is burned into my memory .	I could avoid them .	if
2	9973	Those were the old ways , and .	They no longer did things like that so obviously in front of the commoners .	but
2	54867	To tell one of the drill sergeants she was quitting .	Somehow they had managed to talk her down .	but
2	26099	She could barely see it in the moonlight .	She heard some mumbling voices .	but
0	130600	She might think she was the real girl .	Shed be wondering , what am i supposed to do .	and
0	71315	`` use your gift on me .	I 'll use mine on you .	and
3	102244	More importantly would she say yes .	He asked her to marry him .	if
0	53868	Silence burned her ears .	Not even the pounding hooves of the horses drowned out the annihilating blizzard she felt coming from him .	and
0	158621	It cut into my lungs .	Burned my fingers as they gripped the railing .	and
3	67732	I 'm not responsible .	Those two never have children .	if
2	111107	Honestly i could give a damn .	I dont want her having me come all the way back up here to do this .	but
0	138931	The car edged forward , crushing back the singing crowd , and moved ahead , throwing us against each other .	Then lurched for the center of the street .	and
3	103727	Not likely , but that was something he could discover whilst he searched for the king , if he still lived .	The country was in such a state and the lady knew nothing of it .	if
4	141459	It was almost dark .	I left the police station .	when
0	90093	I also call henderson 's secretary she arranges it for me .	Jesse usually arranges transport , but .	and
0	158172	Human bodies are frail . '' .	Some aliens are even more .	and
2	155392	Then he looked directly at me and .	I knew he remembered and his thoughts were like my own .	but
4	106323	He smiled , maddeningly smug .	Balthazar 's eyes met mine .	when
0	84557	Brad thought it should .	Looking back he thought it really stunk .	and
2	41195	Where he could keep an eye on me .	Still have his own conversations .	but
0	123597	But she still looked at him .	There was a silent question in her eyes .	and
2	43904	Many are learning it .	They could use more instruction .	but
2	40950	And the bloody arm is above him and cant summon the will .	Reginald wants to wince .	but
4	45818	I started to strip off the shift , and more importantly , who was looking back from it .	I noticed a mirror on the wall to my side .	when
3	81678	He would whip the sweetness out of her , and the thought disturbed him more now than .	He were to get her in his bed .	if
2	68330	Anyone else might have been difficult to spot in the darkness .	Alisa baronova 's platinum blond hair made it easy to pick her out amid the shadows .	but
4	23630	Of a small stain on the carpet .	They entered the room .	when
0	125192	The young man tossed the gun aside , eased him into a sitting position .	Running to his father .	and
2	110553	Panting , maisie peeked her head up and found nothing but vegetation close by .	Looked out the windows .	but
3	131267	Shed scribble a few words onto the paper .	It helped miss molly feel better .	if
0	146950	She tried in vain to ignore all the questions creeping into her mind .	Quickly got dressed to appease the four-year-old terror downstairs .	and
2	91460	Medicine is a remarkable thing .	I have to give monarch credit .	but
0	93967	Violating the tapu on our sacred burial sites .	Exposing us as a target for our enemies .	and
2	42987	She had never wanted to know about her heritage .	She read on it became impossible to put the book .	but
0	76019	I scanned the crowd .	Found jeff and fallon in a corner .	and
4	74931	He 'd just taken a sip of coffee .	His cell phone rang .	when
0	130193	Clouds were piling in .	There was more rain on the way .	and
0	86009	They would like to live , just to live forever and feast , the old man said , looking .	Consume those who are dead , or who are about to die , with their own hatred and fear , but never to die themselves .	and
3	141255	He 'd find a way to take advantage of it .	She gave him even the slightest bit of insight into who she was .	if
0	113586	They all hurried out of the cab .	Walked up to the door of the building .	and
0	120239	`` i want to touch you now , '' i say .	Close the distance between us .	and
4	118327	One thing bled through all the others : they needed to hurry .	The haunce outlined the plan for what they needed to do to stop the fragmenting of the realities .	when
1	160634	He tortured vallin for several hours but either the man was a true drunken idiot , or he was devoted to his cause .	He never spoke a word .	because
4	125168	I wont risk being .	This place gets filled with those monsters .	when
0	89152	Energy sizzled along my spine .	Put every protective instinct in my body on code red .	and
1	105495	Which was harder than usual .	I was so emotionally drained .	because
2	92220	They would continue to push us where they chose .	The bridges were not an option , at least not to me .	but
3	103326	The person might be a jerk or not fall for it .	The love potion didnt turn out .	if
3	121304	They 'd get poisoned in a more conventional manner .	Anyone his brothers followed made a wrong turn .	if
4	127671	Chapter 25 it was early afternoon .	I finally managed to drag myself out of jett 's steamy bed to text sylvie i .	when
0	144373	His voice was raspy .	Every word rubbed his throat raw .	and
0	158581	Fighting back tears she , loaded the library catalogue .	Looked instead for books on the subject .	and
2	123463	I blink several times .	Can only make out the general outline of their figure .	but
0	104398	A secret guilt proved too much .	He needed to go down the mountain and hand himself in .	and
3	62542	Dannos is still deep in the earth to avoid the worst-case scenario it has to be done .	Were doing to pull the plug .	if
0	66416	The short-term memories buzzed .	I felt past them to the stored memories .	and
0	114698	You 've divided a communal mind ! '' .	She 's looking for them .	and
1	81508	Was he merely talking romantic nonsensical things .	His heart was so heavily involved .	because
4	149074	Realized he had left his bb gun behind .	We got back to the tent in corys backyard steve .	when
3	3010	To come and see .	You two were knocking boots or .	if
4	96090	The sharp edge of panic cut .	He felt his eyes begin to water-so he purposely avoided the shrewd perception he saw in her face and dropped his gaze .	when
0	22961	With that , she slid her glasses on .	Walked out the door .	and
0	124781	Once then left the van , settling into the arranged spot and waited .	Headed down the path .	and
0	112628	Often his voice would turn to song .	He would get out of his chair and dance .	and
0	22707	Its glassy gaze over the hall .	Spoke with a shrill voice .	and
4	73307	`` and i will send an ancient one to destroy you for your disobedience . '' .	I do accomplish my purpose .	when
2	66759	Eric had turned out to be more fire-breathing dragon than anything .	That was a minor misstep on the rotting rope bridge of life .	but
3	88781	Then we need to train hard , and have faith as much as possible .	We 're going to defeat this darkness .	if
0	107878	Banks , especially the foreign owned ones are extremely worried .	May decide to relocate .	and
4	107106	His eyes are wide and luminous .	He looks at me .	when
4	124681	Baker continued did he call on your work or personal cell phone .	Detective bautista called you .	when
3	52222	It would be this .	Anything could kill me .	if
3	69415	You 'll be giving up much more than i will .	You stay with me .	if
2	43364	I was often tempted to shave it down to a crew-cut .	I 've got an image to maintain out .	but
2	39272	I tried to stand up .	A sharp pain shot up my leg and i fell .	but
3	49934	Here it is-my golden moment .	Ever i wanted to kick my own ass .	if
0	156674	Many of the cows were cooperative had other ideas .	Let themselves be led willingly to the harmless procedure but a few of them .	and
3	51631	And you will burn through lives and history .	Your fire is unchecked .	if
0	157857	He was telling the tale for the second time in a day .	He had to stop once during the telling , when he got to the actual death of his master .	and
4	52994	Being a military spouse sure sucked sometimes-even .	The marriage was a freaking farce .	when
3	65290	They might actually start thinking of him as the boss .	He kept this up .	if
0	120165	They rushed into my house .	Started pushing me around and hitting me .	and
0	2394	I was getting really cold .	Wanted to get home .	and
4	73746	One in six children born of such exposure showed remarkable improvements .	A fetus was exposed in utero .	when
4	158254	After a long struggle she 'd died when jala was ten .	She 'd been forced to relinquish jala 's upbringing to others .	when
3	118346	The bartender asked corbin .	He wanted a drink and he shook his head absently , puzzled , staring at the shot glass gregor had used .	if
2	50312	He resented the legal issues he needed to resolve before bringing his family to his home .	It was just one more of the obligations he faced as leader of duban .	but
4	69658	I clutch my hands to her hips .	Our movements begin to falter as passion takes over .	when
4	118920	His confident gait was so different from a year ago .	He was troubled and lonely .	when
3	145166	It must be a bad one , to have him sitting down there in the dark .	Peter had been struck by some illness .	if
3	51277	He 'd have noticed how hungrily vimes 's eyes watched it .	He 'd been that observant .	if
2	61659	Her face was beautiful .	It was a fake kind of beautiful .	but
2	15793	Two people had been in the pool .	Now a dragon , larger than a passenger van , had emerged .	but
4	66090	He waved her money aside and instructed the cabbie to wait for him .	They stopped in front of her building .	when
2	134556	'' she said , `` .	You 're on kp tonight .	but
4	139088	What he 'd done .	One hand covered an exposed breast while his mouth bent to the other .	when
0	57762	It feels as if the universe just delivered a fresh slap across my cheek .	My head is still ringing from the effect .	and
2	158960	I carefully step towards berwyn , whose body is lying .	I keep my eyes trained on the warlock .	but
2	119216	They didnt talk about megdline .	The bandits that cage killed got the king to offer thanks .	but
2	135273	I know ive never seen this place .	Oddly , it feels familiar.maybe ive seen a similar house before .	but
0	50402	Just he has fulfilled his promise as foretold by prophets to be born to earth .	Provide the great atonement .	and
0	99147	Out of the toilets i grabbed the fizzy blue drink out of natalies hand .	Washed the whole lot .	and
4	30555	I was walking around in circles .	I was hit with the feeling that someone was watching me .	when
2	95465	The orthopedic surgeons put me back .	I have these horrible scars to prove it .	but
4	153674	Long brunette hair swept across her shoulder .	She leaned her head down and made a show of wiping off the wooden chair situated for visitors .	when
4	157480	On the bristles and brain themselves .	The handle came flying up .	when
2	129452	It had all been patched up .	Still , olivia was having a hard enough time dealing with the fact that my own abilities far outweighed hers .	but
0	5093	He 'd been wrong .	He damn well should suffer for a bit before she forgave him .	and
4	103154	The moron had his head .	So he got close i brought my knee up and it met his face .	when
0	61023	But his wife and child had received a proper burial .	Were in the spirit world , and because he killed himself in order to follow the dead settlers , sun eagle was trapped forever in the land of the dead .	and
3	158625	Then he 'll practically beg to keep you around . '' .	You play your cards right and blow him .	if
0	85694	He realized what she was doing .	Made a fumbling effort to help her .	and
4	101281	Pretending nothing was wrong .	He couldfeel casey 's misery hanging over him like a black cloud dripping rain .	when
3	31555	They will send word quickly to intercept us .	We try to dock at ancora or sevadir .	if
